Best sequence step-by-step:
{'t0': 0, 'd': 4, 'masina_index': 0, 'munka_index': 0}
{'t0': 4, 'd': 4, 'masina_index': 1, 'munka_index': 0}
{'t0': 8, 'd': 7, 'masina_index': 2, 'munka_index': 0}
{'t0': 15, 'd': 4, 'masina_index': 3, 'munka_index': 0}
{'t0': 19, 'd': 8, 'masina_index': 4, 'munka_index': 0}
{'t0': 27, 'd': 8, 'masina_index': 5, 'munka_index': 0}
{'t0': 35, 'd': 7, 'masina_index': 6, 'munka_index': 0}
{'t0': 42, 'd': 5, 'masina_index': 7, 'munka_index': 0}
{'t0': 47, 'd': 5, 'masina_index': 8, 'munka_index': 0}
{'t0': 52, 'd': 8, 'masina_index': 9, 'munka_index': 0}
{'t0': 4, 'd': 4, 'masina_index': 0, 'munka_index': 5}
{'t0': 8, 'd': 3, 'masina_index': 1, 'munka_index': 5}
{'t0': 15, 'd': 5, 'masina_index': 2, 'munka_index': 5}
{'t0': 20, 'd': 9, 'masina_index': 3, 'munka_index': 5}
{'t0': 29, 'd': 3, 'masina_index': 4, 'munka_index': 5}
{'t0': 35, 'd': 6, 'masina_index': 5, 'munka_index': 5}
{'t0': 42, 'd': 9, 'masina_index': 6, 'munka_index': 5}
{'t0': 51, 'd': 1, 'masina_index': 7, 'munka_index': 5}
{'t0': 52, 'd': 7, 'masina_index': 8, 'munka_index': 5}
{'t0': 60, 'd': 6, 'masina_index': 9, 'munka_index': 5}
{'t0': 8, 'd': 6, 'masina_index': 0, 'munka_index': 1}
{'t0': 14, 'd': 6, 'masina_index': 1, 'munka_index': 1}
{'t0': 20, 'd': 9, 'masina_index': 2, 'munka_index': 1}
{'t0': 29, 'd': 9, 'masina_index': 3, 'munka_index': 1}
{'t0': 38, 'd': 8, 'masina_index': 4, 'munka_index': 1}
{'t0': 46, 'd': 4, 'masina_index': 5, 'munka_index': 1}
{'t0': 51, 'd': 4, 'masina_index': 6, 'munka_index': 1}
{'t0': 55, 'd': 4, 'masina_index': 7, 'munka_index': 1}
{'t0': 59, 'd': 4, 'masina_index': 8, 'munka_index': 1}
{'t0': 66, 'd': 4, 'masina_index': 9, 'munka_index': 1}
{'t0': 14, 'd': 5, 'masina_index': 0, 'munka_index': 8}
{'t0': 20, 'd': 8, 'masina_index': 1, 'munka_index': 8}
{'t0': 29, 'd': 8, 'masina_index': 2, 'munka_index': 8}
{'t0': 38, 'd': 6, 'masina_index': 3, 'munka_index': 8}
{'t0': 46, 'd': 3, 'masina_index': 4, 'munka_index': 8}
{'t0': 50, 'd': 3, 'masina_index': 5, 'munka_index': 8}
{'t0': 55, 'd': 5, 'masina_index': 6, 'munka_index': 8}
{'t0': 60, 'd': 5, 'masina_index': 7, 'munka_index': 8}
